,fanfooty_player_id,afl_player_id,first_name,surname,afl_team,status,jumper_number,birth_date,height,weight,state_of_origin,recruited_from,game,goals,Full Name,SC Player ID,First Name,Last Name,Pos1,Pos2,Team,Playing Next,In 2 Rds,In 3 Rds,Owner,Waiver,Free Agent,Status,Total Pts,Matches,Rd Pts,Avg,Avg 3,Avg 5,Status Comment,Player Note,Alternative Name
800,42243,295344,Toby,Greene,GWS,senior,4,15/09/1993,182,82,VIC,Oakleigh Chargers,137,"155""",Toby Greene,382,Toby,Greene,FWD,,GWS,,,,,Tue 27th 4am,,waiver,1503,16,0,93.94,123.67,118,,,
472,39526,271129,Todd,Goldstein,North Melbourne,senior,22,1/07/1988,201,103,VIC,Oakleigh,229,"117""",Todd Goldstein,513,Todd,Goldstein,RUC,,NTH,,,,Salt&VinegarCripps,,,owner,2469,22,69,112.23,122.67,123.6,Goldy was one of the top scoring rucks of the week with his 102 from 23 touches 34 hitouts and a goal. A great option for those that started with him.,,
93,44030,990704,Patrick,Cripps,Carlton,senior,9,18/03/1995,195,93,WA,East Fremantle,96,"45""",Patrick Cripps,94,Patrick,Cripps,MID,,CAR,,,,Barbeques Treloar,,,owner,2342,20,148,117.1,122.33,119.4,Cripps had the second best score for the Blues with 21 of his 32 touches contested and his efficiency was up at 81%. The only downside on his game was that 22 of those 32 touches were by hand.,,
154,43007,293957,Brodie,Grundy,Collingwood,senior,4,15/04/1994,203,102,SA,Sturt,125,"42""",Brodie Grundy,153,Brodie,Grundy,RUC,,COL,,,,Man of Steele,,,owner,2860,22,157,130,122,120.8,Grundy didn't have a massive start to the season but he did come home well after a slow start to the game. He gave away 5 free kicks and just the 55% efficiency rating from his 18 touches.,,
661,39522,260382,Josh P.,Kennedy,Sydney,senior,12,20/06/1988,188,94,VIC,Sandringham Dragons,239,"145""",Josh P. Kennedy,699,Josh P.,Kennedy,MID,,SYD,,,,Man of Steele,,,owner,2026,19,178,106.63,121.33,109.2,,,
322,552,220001,Gary,Ablett jnr,Geelong,senior,4,14/05/1984,182,87,VIC,Geelong Falcons ,337,"431""",Gary Ablett jnr,320,Gary,Ablett,MID,0,GEE,,,,Salt&VinegarCripps,,,owner,2009,21,167,95.67,121,105,Ablett was talked up to be more of a forward this season and that is how things panned out. But he did still spend some time in the midfield. 23 touches and 2 goals was a solid game for him but he did give away 3 free kicks.,0,Gary Ablett
826,43001,294305,Lachie,Whitfield,GWS,senior,6,18/07/1994,187,81,VIC,Dandenong Stingrays,124,"56""",Lachie Whitfield,409,Lachie,Whitfield,DEF,,GWS,,,,Fire The Worpedo,,,owner,1780,16,159,111.25,121,112.4,Whitfield was a popular choice in our defence this season and he delivered with 30 touches. He seems to have a role that will assist him with this level of scoring going forward.,,
752,42010,290801,Andrew,Gaff,West Coast,senior,3,16/06/1992,182,84,VIC,Oakleigh Chargers,190,"68""",Andrew Gaff,786,Andrew,Gaff,MID,,WCE,,,,DEVQON.1,,,owner,2148,20,134,107.4,120.67,116.2,,,
713,43022,295467,Jack,Macrae,Western Bulldogs,senior,11,3/08/1994,191,83,VIC,Oakleigh Chargers,134,"31""",Jack Macrae,748,Jack,Macrae,MID,,WBD,,,,Casting Crouch,,,owner,2710,22,119,123.18,120.33,133.8,Macrae had the second best score for the Dogs from his 32 touches and 3 tackles. He also had a massive 15 clearances. His efficiency was down at 68% but owners can't be unhappy with a return of 132.,,
573,39510,250312,Bachar,Houli,Richmond,senior,14,12/05/1988,180,84,VIC,Western Jets,199,"42""",Bachar Houli,614,Bachar,Houli,DEF,,RIC,,,,Man of Steele,,,owner,2000,19,110,105.26,119,118.2,,,
245,41049,291570,Nat,Fyfe,Fremantle,senior,7,18/09/1991,190,91,WA,Claremont,167,"142""",Nat Fyfe,243,Nat,Fyfe,MID,,FRE,,,,Barbeques Treloar,,,owner,2400,20,108,120,118,120.4,Fyfe was great with 10 kicks and 22 handballs. His 32 touches came at 78% efficiency and he had 10 clearances which was 3 more than any other player on the ground. He is worth putting on watch for next weeks trades.,,
5,44012,297401,Matt,Crouch,Adelaide,senior,5,21/04/1995,183,82,VIC,North Ballarat Rebels,104,"23""",Matt Crouch,6,Matt,Crouch,MID,,ADE,,,,Casting Crouch,,,owner,1970,19,134,103.68,117,109.2,Crouch was great and had the second best score for the Crows from 40 touches and just under half of them were contested. He is a supercoach machine and well worth being in your side.,,
584,42032,290627,Dion,Prestia,Richmond,senior,3,12/10/1992,175,81,VIC,Calder Cannons,147,"49""",Dion Prestia,625,Dion,Prestia,MID,,RIC,,,,Swimming n Titch,,,owner,2229,22,116,101.32,115.67,121.2,,,
137,42249,291776,Taylor,Adams,Collingwood,senior,13,30/09/1993,181,83,VIC,Geelong Falcons,126,"46""",Taylor Adams,136,Taylor,Adams,MID,,COL,,,,TryingAnewStratton,,,owner,967,10,138,96.7,115,106.2,A finger injury that required surgery will see Adams miss the first few rounds.,,
169,2032,260257,Scott,Pendlebury,Collingwood,senior,10,7/01/1988,191,91,VIC,Gippsland Power,293,"172""",Scott Pendlebury,167,Scott,Pendlebury,MID,,COL,,,,Fire The Worpedo,,,owner,2295,22,115,104.32,114,108.4,,,
180,42232,291790,Adam,Treloar,Collingwood,senior,7,9/03/1993,182,85,VIC,Noble Park,156,"94""",Adam Treloar,178,Adam,Treloar,MID,,COL,,,,Salt&VinegarCripps,,,owner,2495,22,99,113.41,114,128.4,Treloar had 34 touches and 6 tackles but 10 of those touches were clangers which kept his score down to just over 100. However he was the only Pie over 100 for the game. He will be a gun again this season.,,
412,48126,1002222,James,Worpel,Hawthorn,senior,5,24/01/1999,185,86,VIC,Geelong Falcons,28,"12""",James Worpel,455,James,Worpel,FWD,MID,HAW,,,,Fire The Worpedo,,,owner,2135,22,72,97.05,113.67,119.2,Worpel top scored for the Hawks as he showed that his JLT form was no fluke. His 27 touches resulted in 2 goals and he had the most contested possessions for the Hawks with 12.,,
565,39540,260930,Shane,Edwards,Richmond,senior,10,25/10/1988,182,81,SA,Nth Adelaide,247,"158""",Shane Edwards,605,Shane,Edwards,FWD,MID,RIC,,,,Salt&VinegarCripps,,,owner,1771,21,91,84.33,112.33,104.2,,,
440,42125,291533,Tom,McDonald,Melbourne,senior,25,18/09/1992,194,101,VIC,North Ballarat,161,"102""",Tom McDonald,481,Tom,McDonald,FWD,,MEL,,,,,Tue 27th 4am,,waiver,1069,15,0,71.27,112,87.2,,,
254,45071,298264,Ed,Langdon,Fremantle,senior,26,2/01/1996,182,76,VIC,Sandringham Dragons,63,"28""",Ed Langdon,252,Ed,Langdon,MID,,FRE,,,,Swimming n Titch,,,owner,1889,22,111,85.86,110.67,98,,,
705,43046,294557,Lachie,Hunter,Western Bulldogs,senior,7,13/12/1994,183,80,VIC,Western Jets,121,"55""",Lachie Hunter,740,Lachie,Hunter,MID,,WBD,,,,Barbeques Treloar,,,owner,2096,22,97,95.27,110.67,96,,,
781,42317,292128,Elliot,Yeo,West Coast,senior,6,1/10/1993,190,87,WA,East Fremantle,148,"69""",Elliot Yeo,815,Elliot,Yeo,MID,,WCE,,,,Man of Steele,,,owner,2260,21,93,107.62,110.67,114.8,Yeo didn't get the score that we need him to for his price. He was one of many Eagles that had a  down day. He did have 25 touches but he did have an efficiency of only 44%. Hopefully he can turn this around next week.,,
538,41168,290527,Trent,McKenzie,Port Adelaide,senior,12,3/04/1992,190,86,VIC,Western Jets,107,"22""",Trent McKenzie,579,Trent,McKenzie,DEF,,PTA,,,,,Tue 27th 4am,,waiver,110,1,110,110,110,110,,,
802,42297,295265,Nick,Haynes,GWS,senior,19,18/05/1992,193,89,VIC,Dandenong Stingrays,119,"9""",Nick Haynes,384,Nick,Haynes,DEF,,GWS,,,,Barbeques Treloar,,,owner,1661,19,0,87.42,110,94.6,,,
690,44006,297373,Marcus,Bontempelli,Western Bulldogs,senior,4,24/11/1995,193,92,VIC,Northern Knights,120,"110""",Marcus Bontempelli,726,Marcus,Bontempelli,MID,,WBD,,,,Swimming n Titch,,,owner,2524,22,140,114.73,109.67,125.4,Bontempelli showed us exactly why he has been a popular pick in previous seasons. 29 touches and 7 tackles including a goal was a great result which delivered owners 158 points. His role was a mix of midfield and forward time. Hopefully he can spend more time in the midfield to maintain high scores.,,
117,2020,250105,Marc,Murphy,Carlton,senior,3,19/07/1987,180,80,VIC,Oakleigh Chargers,263,"181""",Marc Murphy,116,Marc,Murphy,MID,,CAR,,,,TryingAnewStratton,,,owner,1723,19,128,90.68,109,106.6,,,
81,40018,290311,Mitch,Robinson,Brisbane Lions,senior,5,7/06/1989,183,87,TAS,Lauderdale,185,"104""",Mitch Robinson,82,Mitch,Robinson,FWD,MID,BRL,,,,Casting Crouch,,,owner,2077,22,104,94.41,108.67,111.8,,,
133,2024,240359,Dale,Thomas,Carlton,senior,39,21/06/1987,185,84,VIC,Gippsland Power,253,"154""",Dale Thomas,132,Dale,Thomas,DEF,,CAR,,,,Casting Crouch,,,owner,1649,20,91,82.45,108.67,102.2,,,
535,42013,290746,Scott,Lycett,Port Adelaide,senior,29,26/09/1992,203,103,SA,Port Magpies,91,"51""",Scott Lycett,576,Scott,Lycett,RUC,FWD,PTA,,,,Man of Steele,,,owner,1825,18,129,101.39,108.33,104,,,
363,47076,291800,Tom,Stewart,Geelong,senior,44,15/03/1993,190,88,VIC,Geelong VFL,60,"3""",Tom Stewart,361,Tom,Stewart,DEF,,GEE,,,,Man of Steele,,,owner,2160,22,124,98.18,108,98,,,
613,40036,290117,Dan,Hannebery,St Kilda,senior,10,24/02/1991,181,76,VIC,Oakleigh Chargers,208,"95""",Dan Hannebery,652,Dan,Hannebery,MID,,STK,,,,Fire The Worpedo,,,owner,480,5,103,96,106.33,96,,,
79,40003,271072,Daniel,Rich,Brisbane Lions,senior,10,7/06/1990,183,84,WA,Subiaco,200,"106""",Daniel Rich,80,Daniel,Rich,DEF,,BRL,,,,Swimming n Titch,,,owner,2130,22,103,96.82,105,99.4,,,
475,2025,260227,Shaun,Higgins,North Melbourne,senior,4,4/03/1988,184,89,VIC,Geelong Falcons,215,"215""",Shaun Higgins,516,Shaun,Higgins,MID,,NTH,,,,Casting Crouch,,,owner,1613,17,133,94.88,104.67,104.4,,,
350,47087,999824,Quinton,Narkle,Geelong,senior,19,3/12/1997,180,80,WA,Perth,6,"5""",Quinton Narkle,348,Quinton,Narkle,FWD,,GEE,,,,Fire The Worpedo,,,owner,313,3,134,104.33,104.33,104.33,,,
724,39592,270732,Matt,Suckling,Western Bulldogs,senior,1,25/07/1988,187,87,NSW,Wagga Tigers,166,"80""",Matt Suckling,759,Matthew,Suckling,DEF,0,WBD,,,,Casting Crouch,,,owner,1505,18,109,83.61,104,87.2,,,Matthew Suckling
808,44002,296347,Josh,Kelly,GWS,senior,22,12/02/1995,184,82,VIC,Sandringham Dragons,111,"71""",Josh Kelly,390,Josh,Kelly,MID,,GWS,,,,TryingAnewStratton,,,owner,1644,14,124,117.43,104,108.8,,,
407,44040,297566,James,Sicily,Hawthorn,senior,6,6/01/1995,186,83,VIC,Western Jets,77,"55""",James Sicily,450,James,Sicily,DEF,,HAW,,,,TryingAnewStratton,,,owner,2064,22,124,93.82,103.67,95.6,Sicily was great with 10 marks and a kick to handball ratio of 22 to 4 which is what we like to see.,,
69,39707,280763,Stefan,Martin,Brisbane Lions,senior,12,17/11/1986,199,102,VIC,Sandringham,175,"44""",Stefan Martin,70,Stefan,Martin,RUC,,BRL,,,,Barbeques Treloar,,,owner,2030,22,85,92.27,103.33,90.8,Stef had a good return from just 13 touches and 17 hitouts. As an alternative to the big two he scored well. Hopefully he can keep this up and improve from here.,,
529,46035,994295,Dan,Houston,Port Adelaide,senior,43,12/05/1997,187,85,VIC,Oakleigh Chargers,55,"6""",Dan Houston,570,Dan,Houston,DEF,,PTA,,,,Salt&VinegarCripps,,,owner,1875,21,117,89.29,103.33,105.8,,,
72,47001,1000978,Hugh,McCluggage,Brisbane Lions,senior,6,3/03/1998,186,77,VIC,North Ballarat Rebels,56,"36""",Hugh McCluggage,73,Hugh,McCluggage,MID,,BRL,,,,Casting Crouch,,,owner,1975,21,112,94.05,102.67,100.6,McCluggage hit 114 points from his 20 touches at 85%. Many have suspected that he could score like this and hopefully this is the start of a great season for him.,,
35,42142,294733,Paul,Seedsman,Adelaide,senior,11,22/01/1992,190,83,VIC,Eastern Ranges,98,"49""",Paul Seedsman,36,Paul,Seedsman,MID,,ADE,,,,TryingAnewStratton,,,owner,940,13,95,72.31,102.33,94,,,
595,43018,294674,Nick,Vlastuin,Richmond,senior,1,19/04/1994,187,86,VIC,Northern Knights,133,"26""",Nick Vlastuin,634,Nick,Vlastuin,DEF,,RIC,,,,Barbeques Treloar,,,owner,1916,21,106,91.24,102,102.6,,,
700,47018,1004592,Tim,English,Western Bulldogs,senior,44,10/08/1997,205,87,WA,South Fremantle,24,"6""",Tim English,736,Tim,English,RUC,,WBD,,,,,Tue 27th 4am,,waiver,1569,19,104,82.58,102,92.6,,,
344,48214,295898,Tim,Kelly,Geelong,senior,11,26/07/1994,182,81,WA,South Fremantle,40,"40""",Tim Kelly,342,Tim,Kelly,FWD,MID,GEE,,,,DEVQON.1,,,owner,2276,22,115,103.45,101.67,105.4,Kelly was fantastic and had the ball on a string in the first term. His 31 touches came at a 67% but 12 of those touches were contested. Look for him to be a popular trade in in the first few weeks.,,
827,43139,294685,Zac,Williams,GWS,senior,29,20/09/1994,185,84,NSW,Narrandera,92,"23""",Zac Williams,410,Zac,Williams,DEF,,GWS,,,,TryingAnewStratton,,,owner,2032,20,100,101.6,100.67,99.2,Williams didn't play much JLT at all but did manage 82 points in his 53% of JLT1. He was rested in JLT2  and if named he could still be well worth a selection.,,
406,40067,280737,Liam,Shiels,Hawthorn,senior,26,29/04/1991,183,84,VIC,Eastern Ranges,199,"73""",Liam Shiels,449,Liam,Shiels,MID,,HAW,,,,TryingAnewStratton,,,owner,1650,19,96,86.84,100.33,92,,,
710,47067,1003130,Patrick,Lipinski,Western Bulldogs,senior,27,17/07/1998,187,80,VIC,Northern Knights,26,"17""",Patrick Lipinski,745,Patrick,Lipinski,FWD,MID,WBD,,,,Man of Steele,,,owner,1057,13,89,81.31,100.33,92,,,
214,44027,992016,Zach,Merrett,Essendon,senior,7,3/10/1995,180,80,VIC,Sandringham Dragons,120,"41""",Zach Merrett,213,Zach,Merrett,MID,,ESS,,,,Fire The Worpedo,,,owner,2324,22,78,105.64,99.33,99.8,Merrett didn't have a great game with just 16 touches one mark and 3 tackles. He is competing with an extra player (Shiel) in the midfield and this doesn't seem to be helping his scoring.,,
768,47083,296225,Willie,Rioli,West Coast,senior,44,4/06/1995,175,82,SA,Glenelg,32,"36""",Willie Rioli,802,Willie,Rioli,FWD,,WCE,,,,,Tue 27th 4am,,waiver,897,13,104,69,99.33,94.6,,,
175,40008,280965,Steele,Sidebottom,Collingwood,senior,22,2/01/1991,184,86,VIC,Murray Bushrangers,227,"158""",Steele Sidebottom,173,Steele,Sidebottom,MID,,COL,,,,DEVQON.1,,,owner,1980,21,0,94.29,99,96.6,,,
444,46027,996701,Clayton,Oliver,Melbourne,senior,13,22/07/1997,187,88,VIC,Murray Bushrangers,77,"25""",Clayton Oliver,485,Clayton,Oliver,MID,,MEL,,,,DEVQON.1,,,owner,2406,22,109,109.36,99,106.8,Oliver was quiet as he only had one mark and two tackles. The Demons didn't have a great day and this could be why he was down. Hopefully he can turn this around next week.,,
408,42107,294877,Isaac,Smith,Hawthorn,senior,16,30/12/1988,188,83,VIC,North Ballarat,194,"156""",Isaac Smith,451,Isaac,Smith,MID,,HAW,,,,,,1,free_agent,1577,19,71,83,98.33,93.2,,,
109,39622,261299,Matthew,Kreuzer,Carlton,senior,8,13/05/1989,200,101,VIC,Northern Knights,185,"93""",Matthew Kreuzer,108,Matthew,Kreuzer,RUC,,CAR,,,,DEVQON.1,,,owner,1461,15,82,97.4,97.67,93,,,
265,9,220096,Aaron,Sandilands,Fremantle,senior,31,6/12/1982,211,118,WA,East Fremantle,266,"97""",Aaron Sandilands,263,Aaron,Sandilands,RUC,,FRE,,,,,Tue 27th 4am,,waiver,512,6,0,85.33,97.67,95.2,,,
289,39619,270512,Pearce,Hanley,Gold Coast,senior,1,15/11/1988,185,85,,County Mayo Ireland,156,"60""",Pearce Hanley,287,Pearce,Hanley,DEF,,GCS,,,,,Tue 27th 4am,,waiver,1237,16,82,77.31,97.33,80.8,,,
332,42194,291526,Luke,Dahlhaus,Geelong,senior,40,21/08/1992,179,77,VIC,Geelong Falcons,170,"118""",Luke Dahlhaus,330,Luke,Dahlhaus,FWD,MID,GEE,,,,Salt&VinegarCripps,,,owner,1788,21,123,85.14,97.33,85.4,Dahlhaus was quiet in game one but had 118 in game two. His price is awkward if he isn't going to be scoring over 75 each week.,,
550,43006,294318,Ollie,Wines,Port Adelaide,senior,16,7/10/1994,190,97,VIC,Bendigo Pioneers,138,"61""",Ollie Wines,590,Ollie,Wines,MID,,PTA,,,,TryingAnewStratton,,,owner,1060,12,138,88.33,97.33,101.4,Wines had a shoulder injury in the off season and will miss the first few weeks of the season.,,
211,45191,997846,Conor,McKenna,Essendon,senior,45,28/03/1996,184,84,,County Tyrone,68,"19""",Conor McKenna,210,Conor,McKenna,DEF,,ESS,,,,DEVQON.1,,,owner,1677,21,141,79.86,97,89.4,,,
314,42001,290832,David,Swallow,Gold Coast,senior,24,19/11/1992,185,86,WA,East Fremantle,134,"65""",David Swallow,312,David,Swallow,MID,,GCS,,,,Fire The Worpedo,,,owner,1940,22,71,88.18,96.67,95,,,
503,40006,280944,Jack,Ziebell,North Melbourne,senior,7,28/02/1991,188,88,VIC,Murray Bushrangers,205,"156""",Jack Ziebell,544,Jack,Ziebell,FWD,,NTH,,,,Barbeques Treloar,,,owner,1999,22,100,90.86,96.67,96,,,
677,43132,290307,Dane,Rampe,Sydney,senior,24,2/06/1990,188,88,NSW,UNSW,153,"6""",Dane Rampe,714,Dane,Rampe,DEF,,SYD,,,,Fire The Worpedo,,,owner,2041,21,79,97.19,96.33,96,,,
149,45015,994185,Jordan,De Goey,Collingwood,senior,2,15/03/1996,191,91,VIC,Oakleigh Chargers,86,"117""",Jordan De Goey,148,Jordan,De Goey,FWD,,COL,,,,Swimming n Titch,,,owner,1396,16,0,87.25,96,83.4,,,
123,42168,294068,Andrew,Phillips,Carlton,senior,34,3/07/1991,203,99,TAS,Clarence,39,"14""",Andrew Phillips,122,Andrew,Phillips,RUC,,CAR,,,,,Tue 27th 4am,,waiver,464,5,0,92.8,95.67,92.8,,,
371,42093,291327,Jonathon,Ceglar,Hawthorn,senior,18,14/02/1991,204,102,VIC,Murray Bushrangers,72,"40""",Jonathon Ceglar,415,Jonathon,Ceglar,RUC,FWD,HAW,,,,,,1,free_agent,1152,15,94,76.8,95.67,81.8,,,
654,1594,240399,Lance,Franklin,Sydney,senior,23,30/01/1987,199,106,WA,Perth,298,"938""",Lance Franklin,692,Lance,Franklin,FWD,,SYD,,,,Salt&VinegarCripps,,,owner,726,10,108,72.6,95.67,75.2,Buddy didn't have a great game with only 7 touches and one goal. He is a risk and this just demonstrates that for us.,,
663,43125,295342,Jake,Lloyd,Sydney,senior,44,20/09/1993,180,77,VIC,Murray Bushrangers,131,"29""",Jake Lloyd,701,Jake,Lloyd,DEF,,SYD,,,,TryingAnewStratton,,,owner,2396,22,113,108.91,95.67,92,Lloyd was the only Swan over 100 and he got there in style from 35 touches at 85% and 10 marks. He is on his way to being one of the top defenders again.,,
623,47102,992468,Rowan,Marshall,St Kilda,senior,19,24/11/1995,201,98,VIC,North Ballarat Rebels,28,"14""",Rowan Marshall,661,Rowan,Marshall,FWD,,STK,,,,DEVQON.1,,,owner,2205,20,94,110.25,95.33,104,,,
118,45172,297907,Nic,Newman,Carlton,senior,24,15/01/1993,187,82,VIC,Frankston,46,"10""",Nic Newman,117,Nic,Newman,DEF,,CAR,,,,Casting Crouch,,,owner,1933,20,84,96.65,94.67,105.4,Newman had a lackluster preseason campaign which saw him exit a lot of Supercoach teams. But he turned it on with 21 of his 26 touches by foot as well as 9 marks. He won't change price for another week yet so wait and see how he goes this week before getting him in.,,
650,46092,992242,Jordan,Dawson,Sydney,senior,34,9/04/1997,190,84,SA,Sturt,20,"13""",Jordan Dawson,688,Jordan,Dawson,MID,,SYD,,,,,Tue 27th 4am,,waiver,1723,20,114,86.15,94.67,96.4,,,
675,42015,290778,Luke,Parker,Sydney,senior,26,25/10/1992,182,85,VIC,Dandenong Stingrays,188,"150""",Luke Parker,712,Luke,Parker,MID,,SYD,,,,Casting Crouch,,,owner,2312,22,141,105.09,94.67,88.8,,,
485,41050,290156,Jasper,Pittard,North Melbourne,senior,17,1/01/1991,186,81,VIC,Geelong Falcons,143,"12""",Jasper Pittard,526,Jasper,Pittard,DEF,,NTH,,,,,Tue 27th 4am,,waiver,1750,22,103,79.55,94.33,83.2,,,
762,40002,271045,Nic,Naitanui,West Coast,senior,9,4/05/1990,201,110,WA,Swan Districts,164,"102""",Nic Naitanui,796,Nic,Naitanui,RUC,,WCE,,,,,Tue 27th 4am,,waiver,281,3,0,93.67,93.67,93.67,,,
460,45019,298271,Paul,Ahern,North Melbourne,senior,15,1/08/1996,182,83,VIC,Calder Cannons,15,"5""",Paul Ahern,501,Paul,Ahern,MID,,NTH,,,,,Tue 27th 4am,,waiver,484,7,0,69.14,93.33,81.4,,,
748,42005,290838,Jack,Darling,West Coast,senior,27,13/06/1992,191,95,WA,West Perth,189,"362""",Jack Darling,782,Jack,Darling,FWD,,WCE,,,,Swimming n Titch,,,owner,1859,22,76,84.5,93.33,97.2,,,
805,46005,993903,Jacob,Hopper,GWS,senior,2,6/02/1997,187,87,NSW,North Ballarat,60,"24""",Jacob Hopper,387,Jacob,Hopper,MID,,GWS,,,,DEVQON.1,,,owner,1820,19,0,95.79,93.33,89.4,Hopper had the second best score for the Giants and had a fantastic 15 contested possessions out of his 28 touches. An interesting unique.,,
156,42112,291313,Jeremy,Howe,Collingwood,senior,38,29/06/1990,190,88,TAS,Hobart,176,"88""",Jeremy Howe,155,Jeremy,Howe,DEF,,COL,,,,Salt&VinegarCripps,,,owner,1511,19,58,79.53,93,92.6,,,
416,45002,298279,Angus,Brayshaw,Melbourne,senior,10,9/01/1996,187,90,VIC,Sandringham Dragons,75,"35""",Angus Brayshaw,459,Angus,Brayshaw,MID,,MEL,,,,Salt&VinegarCripps,,,owner,1833,22,77,83.32,93,81.4,Brayshaw didn't quite get to the score we needed him to as he had only 57% efficiency for his 26 touches. He did top the clearance list for the Demons though so this could be a one off hopefully.,,
612,46026,298421,Jade,Gresham,St Kilda,senior,4,24/08/1997,177,76,VIC,Northern Knights,79,"90""",Jade Gresham,651,Jade,Gresham,FWD,,STK,,,,,Tue 27th 4am,,waiver,1597,19,0,84.05,93,88,,,
151,42303,293801,Jamie,Elliott,Collingwood,senior,5,21/08/1992,178,81,VIC,Murray Bushrangers,98,"150""",Jamie Elliott,150,Jamie,Elliott,FWD,,COL,,,,,Tue 27th 4am,,waiver,981,14,109,70.07,92.67,75.8,,,
651,47040,998103,Oliver,Florent,Sydney,senior,13,22/07/1998,183,74,VIC,Sandringham Dragons,49,"19""",Oliver Florent,689,Oliver,Florent,MID,,SYD,,,,,Tue 27th 4am,,waiver,1444,21,70,68.76,92.67,78.2,,,
9,42316,293479,Cam,Ellis-Yolmen,Adelaide,senior,28,28/01/1993,190,94,SA,Woodville-West Torrens,39,"15""",Cam Ellis-Yolmen,10,Cameron,Ellis-Yolmen,MID,0,ADE,,,,Barbeques Treloar,,,owner,934,10,0,93.4,91.67,94.8,,,Cameron Ellis-Yolmen
316,45007,298524,Lachlan,Weller,Gold Coast,senior,14,23/02/1996,181,79,QLD,Broadbeach,81,"22""",Lachlan Weller,314,Lachie,Weller,DEF,MID,GCS,,,,Barbeques Treloar,,,owner,1506,17,110,88.59,91.67,84.4,,,Lachie Weller
