First Name|Last Name|Pos1|Pos2|Team|Total Pts|Rds|Rd Pts|Avg|Avg 3|Avg 5|MVP|Status Comment|Player Note
Michael|Walters|FWD|MID|FRE|2217|22|74|100.77|84.67|100.8|4905.0969778981|N/A|Walters had a great JLT with an 86 and 92. But are you game enough to select him? Last year he burnt us with suspensions and poor scoring.
Rowan|Marshall|FWD||STK|2205|20|94|110.25|95.33|104.0|4951.4739229025|N/A|N/A
Jarrod|Witts|RUC||GCS|2193|22|152|99.68|129.33|120.2|5490.4696762426|N/A|N/A
Jarryd|Lyons|MID||BRL|2169|22|92|98.59|125.0|113.8|6020.8390963578|N/A|Lyons had a good preseason at his new home with a 109 then a huge 147. He doesn't come cheap at $502k but an interesting unique selection for you.
Brad|Crouch|MID||ADE|2164|22|59|98.36|82.33|89.4|4952.033271719|N/A|Crouch had 28 and kicked 2 goals but it was his efficiency which hurt him at 67%. However 91 still a good start for a guy that didn't play last season and was very underpriced. Look for him to build from here.
Tom|Stewart|DEF||GEE|2160|22|124|98.18|108.0|98.0|4893.9814814815|N/A|N/A
Sebastian|Ross|MID||STK|2151|22|126|97.77|123.67|126.0|5719.3863319386|N/A|Ross had 27 touches but didn't have any tackles which kept his scoring down. Look for him to improve this week and hopefully return to the scoring we bought him in for.
Andrew|Gaff|MID||WCE|2148|20|134|107.4|120.67|116.2|5105.2141527002|N/A|N/A
James|Worpel|FWD|MID|HAW|2135|22|72|97.05|113.67|119.2|5945.6674473068|N/A|Worpel top scored for the Hawks as he showed that his JLT form was no fluke. His 27 touches resulted in 2 goals and he had the most contested possessions for the Hawks with 12.
Daniel|Rich|DEF||BRL|2130|22|103|96.82|105.0|99.4|4974.2723004695|N/A|N/A
Rory|Laird|DEF||ADE|2130|22|104|96.82|90.0|98.4|4891.6431924883|N/A|Laird had a solid JLT series showing that he hasn't lost any of his scoring power. He will be a popular selection again this year.
Lachie|Hunter|MID||WBD|2096|22|97|95.27|110.67|96.0|5064.4083969466|N/A|N/A
James|Harmes|MID||MEL|2092|22|95|95.09|90.33|93.2|4979.4455066922|N/A|N/A
Dom|Sheed|MID||WCE|2091|22|75|95.05|77.67|80.6|4639.8852223816|N/A|Sheed has had a fantastic start to the season which he has continued into round one. His 38 touches included 10 clearances and 21 of the touches were contested. He is getting the job done in the midfield but it will be interesting to see what happens when Gaff comes back.
Ricky|Henderson|MID||HAW|2086|22|111|94.82|90.33|82.6|4387.3441994247|N/A|N/A
Mitch|Robinson|FWD|MID|BRL|2077|22|104|94.41|108.67|111.8|5597.9778526721|N/A|N/A
Isaac|Heeney|FWD|MID|SYD|2069|22|54|94.05|82.67|94.4|5169.8405026583|N/A|Heeney has been a popular selection over the past couple of seasons and he has started this one well with 19 touches at 78% however just 6 of those were kicks which stalled his scoring a bit.
James|Sicily|DEF||HAW|2064|22|124|93.82|103.67|95.6|4943.6046511628|N/A|Sicily was great with 10 marks and a kick to handball ratio of 22 to 4 which is what we like to see.
Jack|Billings|FWD||STK|2064|22|44|93.82|76.33|79.0|4813.5658914729|N/A|Billings didn't get off to a great start but it was better than all but one of his games before the byes last year. His 28 touches were good and he had 4 marks. Importantly his 82% efficiency helped boost that score. Just one Saint went over 100 so don't despair with him just yet.
Dylan|Shiel|MID||ESS|2046|21|61|97.43|89.67|99.0|4978.0058651026|N/A|Shiel was one of only two Bombers to crack the 100 point mark. He had 25 touches with 18 of them being contested. He was one of few shining lights for the Bombers.
Dane|Rampe|DEF||SYD|2041|21|79|97.19|96.33|96.0|5149.6815286624|N/A|N/A
Zac|Williams|DEF||GWS|2032|20|100|101.6|100.67|99.2|5043.3070866142|N/A|Williams didn't play much JLT at all but did manage 82 points in his 53% of JLT1. He was rested in JLT2  and if named he could still be well worth a selection.
Stefan|Martin|RUC||BRL|2030|22|85|92.27|103.33|90.8|5155.3694581281|N/A|Stef had a good return from just 13 touches and 17 hitouts. As an alternative to the big two he scored well. Hopefully he can keep this up and improve from here.
Josh P.|Kennedy|MID||SYD|2026|19|178|106.63|121.33|109.2|4762.1915103653|N/A|N/A
Gary|Ablett|MID||GEE|2009|21|167|95.67|121.0|105.0|5106.2717770035|N/A|Ablett was talked up to be more of a forward this season and that is how things panned out. But he did still spend some time in the midfield. 23 touches and 2 goals was a solid game for him but he did give away 3 free kicks.
Bachar|Houli|DEF||RIC|2000|19|110|105.26|119.0|118.2|5328.55|N/A|N/A
Dustin|Martin|MID||RIC|2000|20|108|100.0|126.0|117.2|5521|N/A|Dusty had 30 touches and half of these were contested. He scored well but did look a bit rusty at times and got caught when normally he would get away. Look for a much better season from Dusty.
Jack|Ziebell|FWD||NTH|1999|22|100|90.86|96.67|96.0|5092.2461230615|N/A|N/A
Ed|Curnow|MID||CAR|1998|22|126|90.82|133.0|114.6|6254.2542542543|N/A|Curnow took 12 marks against the Tigers. He also had 25 touches to go with them. He had a good game and was 4th equal top score or the Blues.
Steele|Sidebottom|MID||COL|1980|21|0|94.29|99.0|96.6|5258.4848484848|N/A|N/A
Hugh|McCluggage|MID||BRL|1975|21|112|94.05|102.67|100.6|5040|N/A|McCluggage hit 114 points from his 20 touches at 85%. Many have suspected that he could score like this and hopefully this is the start of a great season for him.
Matt|Crouch|MID||ADE|1970|19|134|103.68|117.0|109.2|5207.1573604061|N/A|Crouch was great and had the second best score for the Crows from 40 touches and just under half of them were contested. He is a supercoach machine and well worth being in your side.
Shannon|Hurn|DEF||WCE|1967|19|89|103.53|83.0|84.2|4275.2414844942|N/A|Hurn had a great JLT with 111 and 89. Not many people are talking about him and if you want a unique down back he could be your man.
David|Mundy|FWD|MID|FRE|1959|22|70|89.05|76.33|74.2|4361.8172537009|N/A|N/A
Jack|Crisp|DEF||COL|1956|22|92|88.91|80.67|81.4|4695.8077709611|N/A|N/A
Brodie|Smith|DEF||ADE|1950|22|89|88.64|90.0|91.2|5166.0512820513|N/A|Smith was solid for his 81 points from 21 touches. His role may change a little with Doedee out but there is nothing to worry about there.
David|Swallow|MID||GCS|1940|22|71|88.18|96.67|95.0|5238.0412371134|N/A|N/A
George|Hewett|MID||SYD|1935|22|79|87.95|76.67|77.4|4642.1705426357|N/A|N/A
Nic|Newman|DEF||CAR|1933|20|84|96.65|94.67|105.4|5448.5256078634|N/A|Newman had a lackluster preseason campaign which saw him exit a lot of Supercoach teams. But he turned it on with 21 of his 26 touches by foot as well as 9 marks. He won't change price for another week yet so wait and see how he goes this week before getting him in.
Jared|Polec|MID||NTH|1930|22|118|87.73|90.33|91.0|4714.6113989637|N/A|Polec had a good first game for the Roos and finished the day with 27 touches 7 marks and a tackle. If the Roos can get back on track he could improve his scoring from this effort.
Darcy|Byrne-Jones|DEF||PTA|1918|22|97|87.18|71.33|83.4|5129.5099061522|N/A|N/A
Nick|Vlastuin|DEF||RIC|1916|21|106|91.24|102.0|102.6|5288.3611691023|N/A|N/A
Sam|Walsh|MID||CAR|1912|22|73|86.91|66.33|79.2|4588.7029288703|N/A|Walsh didn't let down those coaches that paid the extra price for him. 24 possessions and 6 marks on debut certainly paid off. His score could have been higher as only half of his touches were effective but he will only get better which is great for owners.
Jack|Steele|MID||STK|1900|20|98|95.0|84.33|99.0|4920|N/A|Steele was the  best for the Saints and it was the 10 tackles that really helped to go with his 22 touches. He was the only Saint to hit the 100+ mark.
Jaeger|O'Meara|MID||HAW|1899|21|99|90.43|81.0|86.8|4679.9368088468|N/A|O'Meara was great with a couple of goals from his 24 touches and had the second best score for the Hawks. 
Ed|Langdon|MID||FRE|1889|22|111|85.86|110.67|98.0|5455.1614610905|N/A|N/A
Tom|Hawkins|FWD||GEE|1884|22|35|85.64|59.67|83.6|4739.8089171975|N/A|N/A
Jack|Redden|MID||WCE|1877|21|69|89.38|70.33|84.2|4876.8779968034|N/A|N/A
Dan|Houston|DEF||PTA|1875|21|117|89.29|103.33|105.8|5322.24|N/A|N/A
Jack|Darling|FWD||WCE|1859|22|76|84.5|93.33|97.2|5840.2366863905|N/A|N/A
Jeremy|Cameron|FWD||GWS|1856|20|152|92.8|91.67|98.6|4705.8189655172|N/A|N/A
Bradley|Hill|MID||FRE|1853|22|76|84.23|73.67|80.0|4784.6735024285|N/A|N/A
Shane|Savage|DEF||STK|1851|22|90|84.14|88.0|85.8|5121.4478660184|N/A|N/A
Brad|Sheppard|DEF||WCE|1846|22|69|83.91|65.0|69.2|4440.5200433369|N/A|N/A
Brayden|Fiorini|MID||GCS|1845|21|80|87.86|87.67|78.2|4483.4146341463|N/A|Fiorini is showing the form we all suspected he had and he got there on the back of 30 touches and 6 tackles this gave him the best score for the Suns.
Jeremy|McGovern|DEF||WCE|1838|21|70|87.52|86.0|88.6|5088.9009793254|N/A|N/A
Angus|Brayshaw|MID||MEL|1833|22|77|83.32|93.0|81.4|4742.062193126|N/A|Brayshaw didn't quite get to the score we needed him to as he had only 57% efficiency for his 26 touches. He did top the clearance list for the Demons though so this could be a one off hopefully.
Scott|Lycett|RUC|FWD|PTA|1825|18|129|101.39|108.33|104.0|5380.2739726027|N/A|N/A
Tom|Phillips|MID||COL|1825|22|67|82.95|75.33|78.8|4915.9452054795|N/A|N/A
Mark|Blicavs|DEF||GEE|1820|22|36|82.73|77.67|86.6|5458.9010989011|N/A|N/A
Jacob|Hopper|MID||GWS|1820|19|0|95.79|93.33|89.4|4701.978021978|N/A|Hopper had the second best score for the Giants and had a fantastic 15 contested possessions out of his 28 touches. An interesting unique.
Heath|Shaw|DEF||GWS|1818|22|90|82.64|89.0|90.0|5074.0374037404|N/A|N/A
Robbie|Tarrant|DEF||NTH|1814|22|96|82.45|83.67|74.8|4986.9900771775|N/A|N/A
Christian|Salem|DEF||MEL|1809|20|64|90.45|66.67|67.8|4419.0160309563|N/A|N/A
Callum|Mills|DEF||SYD|1799|22|82|81.77|73.67|78.2|4868.3713173986|N/A|Mills had a great JLT with a 106 and a 93. At his handy price bracket he could be a unique midpricer that pays off.
Darcy|MacPherson|FWD||GCS|1798|22|97|81.73|71.67|69.6|4467.296996663|N/A|N/A
Sam|Petrevski-Seton|FWD||CAR|1796|22|28|81.64|61.67|73.8|4907.1269487751|N/A|N/A
Christian|Petracca|FWD|MID|MEL|1788|22|97|81.27|88.33|85.8|5159.1722595078|N/A|N/A
Luke|Dahlhaus|FWD|MID|GEE|1788|21|123|85.14|97.33|85.4|4739.0939597315|N/A|Dahlhaus was quiet in game one but had 118 in game two. His price is awkward if he isn't going to be scoring over 75 each week.
Lachie|Whitfield|DEF||GWS|1780|16|159|111.25|121.0|112.4|4826.9662921348|N/A|Whitfield was a popular choice in our defence this season and he delivered with 30 touches. He seems to have a role that will assist him with this level of scoring going forward.
Shane|Edwards|FWD|MID|RIC|1771|21|91|84.33|112.33|104.2|5841.1067193676|N/A|N/A
Tim|Membrey|FWD||STK|1768|22|80|80.36|81.67|87.2|5277.2624434389|N/A|N/A
Ben|McEvoy|RUC||HAW|1762|19|35|92.74|68.67|96.0|5132.8036322361|N/A|N/A
Trent|Dumont|MID||NTH|1760|21|84|83.81|72.67|82.4|4683.2386363636|N/A|N/A
Brayden|Maynard|DEF||COL|1758|22|57|79.91|90.33|88.0|5357.337883959|N/A|N/A
Charlie|Cameron|FWD||BRL|1755|22|38|79.77|82.67|86.4|5630.9971509972|N/A|N/A
Ben|Brown|FWD||NTH|1750|22|93|79.55|91.33|88.6|5508.8|N/A|N/A
Jasper|Pittard|DEF||NTH|1750|22|103|79.55|94.33|83.2|4897.8285714286|N/A|N/A
Blake|Hardwick|DEF||HAW|1738|22|83|79.0|75.67|77.0|4855.6962025316|N/A|N/A
Brandon|Ellis|DEF||RIC|1734|20|63|86.7|87.0|76.2|4868.5121107266|N/A|N/A
Sam|Reid|FWD||SYD|1726|22|68|78.45|85.33|71.8|4824.449594438|N/A|N/A
Luke|Ryan|DEF||FRE|1725|18|0|95.83|84.33|76.4|4563.1304347826|N/A|A solid return for Ryann in the JLT with two in the 80s. He doesn't come cheap but scores like this will certainly make him a solid unique selection.
Tom|Papley|FWD||SYD|1724|22|92|78.36|75.67|70.0|4613.1090487239|N/A|N/A
Marc|Murphy|MID||CAR|1723|19|128|90.68|109.0|106.6|5489.3789901335|N/A|N/A
Jordan|Dawson|MID||SYD|1723|20|114|86.15|94.67|96.4|5294.2542077771|N/A|N/A
Reilly|O'Brien|RUC||ADE|1715|18|0|95.28|80.67|92.8|5207.9300291545|N/A|N/A
Joel|Selwood|MID||GEE|1715|20|47|85.75|61.33|81.6|4759.1836734694|N/A|Selwood had a night out against the Bombers in JLT2. 38 touches 11 marks and 7 tackles is a great return particularly in a practice game.
Adam|Saad|DEF||ESS|1715|21|49|81.67|71.33|73.8|4829.387755102|N/A|N/A
Darcy|Parish|FWD|MID|ESS|1714|20|86|85.7|73.0|75.2|4465.577596266|N/A|N/A
Connor|Rozee|DEF|FWD|PTA|1710|22|85|77.73|91.67|90.2|5445.9649122807|N/A|Rozee had a great debut with 18 touches at 77% and 5 tackles. He is a higher priced rookie but showed more here than he did in the JLT.
Aliir|Aliir|DEF||SYD|1706|22|68|77.55|75.0|76.0|5012.5439624853|N/A|N/A
Jack|Sinclair|MID||STK|1703|22|84|77.41|75.0|78.0|4655.7839107457|N/A|N/A
Jack|Viney|MID||MEL|1699|21|62|80.9|87.0|80.4|5166.5685697469|N/A|N/A
Sam|Lloyd|MID||WBD|1698|22|63|77.18|69.0|70.4|4778.3274440518|N/A|N/A
Luke|Breust|FWD||HAW|1694|22|126|77.0|83.67|68.0|4637.6623376623|N/A|N/A
Bailey|Smith|MID||WBD|1685|22|87|76.59|89.0|88.0|5359.6439169139|N/A|Smith had a slow start to his career with just the 8 possessions at 62% efficiency. If you have him the bench is the best spot for now.
Caleb|Daniel|FWD||WBD|1684|17|0|99.06|84.67|91.2|4762.8266033254|N/A|N/A
Conor|McKenna|DEF||ESS|1677|21|141|79.86|97.0|89.4|5330.7692307692|N/A|N/A
Bayley|Fritsch|MID||MEL|1677|22|99|76.23|77.33|78.8|5290.7573047108|N/A|N/A
Luke|Dunstan|MID||STK|1675|18|114|93.06|86.33|85.0|4817.552238806|N/A|N/A
Nick|Haynes|DEF||GWS|1661|19|0|87.42|110.0|94.6|5306.5021071644|N/A|N/A
Anthony|McDonald-Tipungwuti|FWD||ESS|1659|22|127|75.41|89.0|77.8|4964.9186256781|N/A|N/A
Liam|Shiels|MID||HAW|1650|19|96|86.84|100.33|92.0|5455.8787878788|N/A|N/A
Dale|Thomas|DEF||CAR|1649|20|91|82.45|108.67|102.2|5884.7786537295|N/A|N/A
Jake|Kelly|DEF||ADE|1646|22|45|74.82|60.67|68.4|4895.8687727825|N/A|N/A
Josh|Kelly|MID||GWS|1644|14|124|117.43|104.0|108.8|4791.8491484185|N/A|N/A
Tom|Rockliff|MID||PTA|1642|18|71|91.22|70.67|80.6|4509.8660170524|N/A|Rockliff will be targeted by many coaches this week as he was everywhere with 44 touches and 8 tackles. Another week like this will see him the most traded in at round 3.
Jarrod|Harbrow|DEF||GCS|1622|21|64|77.24|66.0|65.2|4294.512946979|N/A|N/A
Andrew|McGrath|DEF|MID|ESS|1618|22|88|73.55|72.33|70.6|4588.9987639061|N/A|N/A
Darcy|Tucker|MID||FRE|1614|22|68|73.36|63.0|68.2|4634.448574969|N/A|Tucker had a great game with a couple of goals and 24 touches but the Dockers won't have the game on their own terms like this each week so just be careful.
Shaun|Higgins|MID||NTH|1613|17|133|94.88|104.67|104.4|5047.3031618103|N/A|N/A
Nathan|Jones|MID||MEL|1612|22|75|73.27|70.0|66.2|4674.317617866|N/A|N/A
Dyson|Heppell|MID||ESS|1610|17|0|94.71|77.67|85.4|4787.4534161491|N/A|N/A
Justin|Westhoff|FWD|RUC|PTA|1604|20|134|80.2|88.0|86.4|5048.6284289277|N/A|Westhoff didn't need the ruck duties to get his points. He kicked 5 goals and that was enough for him to get a game high 149 points. He won't get it all his own way every week but a great start.
Jason|Johannisen|DEF||WBD|1603|19|85|84.37|90.0|87.6|4764.8159700561|N/A|N/A
Harry|Himmelberg|FWD||GWS|1600|21|46|76.19|57.67|72.0|4899.5625|N/A|N/A
Jade|Gresham|FWD||STK|1597|19|0|84.05|93.0|88.0|5287.1634314339|N/A|N/A
Jack|Gunston|FWD||HAW|1597|20|91|79.85|84.67|84.8|4991.8597370069|N/A|N/A
Robbie|Gray|FWD|MID|PTA|1585|19|37|83.42|54.33|72.2|4670.2839116719|N/A|N/A
Kane|Lambert|FWD||RIC|1584|18|86|88.0|76.33|83.2|4767.0454545455|N/A|N/A
Adam|Tomlinson|MID||GWS|1581|22|64|71.86|58.33|60.4|4354.0796963947|N/A|N/A
Brody|Mihocek|FWD||COL|1580|22|76|71.82|79.33|75.6|5383.0379746835|N/A|N/A
David|Zaharakis|MID||ESS|1579|20|0|78.95|44.67|51.4|3934.1355288157|N/A|N/A
Isaac|Smith|MID||HAW|1577|19|71|83.0|98.33|93.2|5554.2168674699|N/A|N/A
Tom J.|Lynch|FWD||RIC|1575|22|47|71.59|79.67|90.2|6215.873015873|N/A|Lynch was good in his first game for the Tigers. 3 goals and 7 touches in what was effectively his first game of the season as he missed the JLT.
Hayden|Crozier|DEF||WBD|1573|21|83|74.9|74.0|78.2|5066.4335664336|N/A|N/A
Harris|Andrews|DEF||BRL|1572|19|72|82.74|89.0|79.6|4921.6284987277|N/A|N/A
Tim|English|RUC||WBD|1569|19|104|82.58|102.0|92.6|5294.3275971957|N/A|N/A
Jeremy|Finlayson|DEF||GWS|1562|19|68|82.21|80.67|72.2|4735.4033290653|N/A|N/A
Shaun|Atley|FWD||NTH|1561|21|76|74.33|75.0|72.2|4700.4484304933|N/A|N/A
Callum|Wilkie|DEF||STK|1555|22|59|70.68|74.33|73.8|5287.0739549839|N/A|N/A
Tom|Clurey|DEF||PTA|1554|21|0|74.0|74.67|74.6|5086.4864864865|N/A|N/A
Andrew|Brayshaw|MID||FRE|1551|22|74|70.5|73.67|77.8|5635.4609929078|N/A|N/A
Dylan|Grimes|DEF||RIC|1545|21|70|73.57|74.67|69.2|4848.3495145631|N/A|N/A
Daniel|Talia|DEF||ADE|1530|22|38|69.55|66.67|72.2|5254.1176470588|N/A|N/A
Jarrod|Berry|MID||BRL|1529|18|67|84.94|85.67|82.8|4956.1805101373|N/A|N/A
Touk|Miller|MID||GCS|1527|18|86|84.83|84.0|94.0|5237.3280943026|N/A|N/A
Sam J.|Reid|DEF|FWD|GWS|1522|22|49|69.18|55.0|70.4|5024.4415243101|N/A|N/A
Lachie|Plowman|DEF||CAR|1519|21|67|72.33|70.67|70.0|4976.9585253456|N/A|N/A
Alex|Witherden|DEF||BRL|1519|21|38|72.33|77.0|62.2|4950.6912442396|N/A|Witherden has been talked about as a key player down back this season in Supercoach and he delivered in the first week with his 25 touches and 7 marks. Keep him in mind if you don't have him.
Stephen|Coniglio|MID||GWS|1518|15|0|101.2|86.67|90.8|5335.9683794466|N/A|Coniglio had 3 goals from his 24 kicks and 7 handballs. On top of this he had a handy 7 tackles. Look at him to be a popular trade in target following his 154. Look at him as a captain option too.
Jeremy|Howe|DEF||COL|1511|19|58|79.53|93.0|92.6|5565.4533421575|N/A|N/A
Phil|Davis|DEF||GWS|1510|19|88|79.47|76.67|73.2|4600.2649006623|N/A|N/A
Rory|Atkins|MID||ADE|1510|20|0|75.5|56.67|72.6|4654.3046357616|N/A|N/A
Reece|Conca|MID||FRE|1507|22|83|68.5|65.0|67.0|4802.9197080292|N/A|N/A
Lachie|Weller|DEF|MID|GCS|1506|17|110|88.59|91.67|84.4|4664.2762284197|N/A|N/A
Matthew|Suckling|DEF||WBD|1505|18|109|83.61|104.0|87.2|5111.7607973422|N/A|N/A
Toby|Greene|FWD||GWS|1503|16|0|93.94|123.67|118.0|5950.7651363939|N/A|N/A
Aaron|Naughton|DEF||WBD|1490|22|59|67.73|70.0|84.0|5650.6040268456|N/A|N/A
Levi|Casboult|FWD||CAR|1486|20|22|74.3|62.67|67.8|4979.8115746972|N/A|N/A
Harry|Taylor|DEF||GEE|1486|21|52|70.76|53.0|55.0|4345.5585464334|N/A|N/A
Gryan|Miers|FWD||GEE|1481|22|68|67.32|80.67|69.2|5234.8413234301|N/A|Miers had just the 11 touches and 3 tackles. He may not be safe to play on field but if you have him he should make some money if he can stay in the team.
Jy|Simpkin|FWD||NTH|1481|21|49|70.52|68.0|63.4|4869.2775151924|N/A|N/A
Taylor|Walker|FWD||ADE|1481|22|79|67.32|61.0|67.0|4783.2545577313|N/A|N/A
Xavier|Duursma|DEF|MID|PTA|1479|20|98|73.95|86.67|82.0|5250.8451656525|N/A|Duursma had a handy 67 for us on debut from his 16 touches at 87%. He looked good and should hold his spot for a while yet.
Jed|Anderson|MID||NTH|1472|17|0|86.59|76.0|80.2|4756.9972826087|N/A|N/A
Darcy|Gardiner|DEF||BRL|1472|22|32|66.91|63.67|65.4|5141.3043478261|N/A|N/A
Jamie|Macmillan|DEF||NTH|1469|18|35|81.61|91.33|81.8|5289.7208985705|N/A|Macmillan top scored for the Roos this week on the back of 37 touches and 3 tackles. The ball spent a lot of time in the North defence and may continue to do so as the season progresses.
Kade|Simpson|DEF||CAR|1467|18|65|81.5|91.33|97.6|5748.4662576687|N/A|Simpson still doesn't look like slowing down. 27 touches and 6 marks was a handy contribution. He looks to be a solid option for those that started with him.
Matthew|Kreuzer|RUC||CAR|1461|15|82|97.4|97.67|93.0|4957.9055441478|N/A|N/A
Zak|Jones|DEF||SYD|1457|17|0|85.71|80.33|84.2|4986.8222374743|N/A|N/A
Josh|Bruce|FWD||STK|1451|22|72|65.95|70.67|73.6|5397.6567884218|N/A|N/A
Lincoln|McCarthy|FWD||BRL|1448|22|31|65.82|51.0|55.2|4618.7845303867|N/A|N/A
Oliver|Florent|MID||SYD|1444|21|70|68.76|92.67|78.2|5382.3407202216|N/A|N/A
Michael|Hurley|DEF||ESS|1435|18|48|79.72|46.0|59.6|4264.8083623693|N/A|N/A
Jordan|Roughead|RUC|FWD|COL|1427|22|76|64.86|58.67|57.2|4531.0441485634|N/A|N/A
Anthony|Miles|MID||GCS|1425|17|0|83.82|78.67|82.2|5277.7543859649|N/A|N/A
Sam|Gray|FWD||PTA|1424|20|41|71.2|44.67|60.4|4476.1235955056|N/A|N/A
Chris|Mayne|MID||COL|1423|19|123|74.89|90.0|88.8|4968.3063949403|N/A|N/A
Jack|Newnes|FWD|MID|STK|1423|20|28|71.15|53.67|55.2|4295.1510892481|N/A|N/A
