FanFooty player ID, AFL player id, first name (may include middle initial), surname, AFL team, AFL status (senior/rookie/long-term injured/AFL suspension/club suspension), jumper number, date of birth, height in cm, weight in kg, state of origin, recruited from, games,goals
48073,997206,Andrew,McPherson,Adelaide,senior,36,20/06/1999,186,79,SA,Woodville West Torrens,0,"0"""
46021,990882,Wayne,Milera,Adelaide,senior,30,14/09/1997,184,80,SA,Central Districts,55,"21"""
48233,1000998,Lachlan,Murphy,Adelaide,senior,44,4/12/1998,173,74,SA,Adelaide FC,28,"28"""
45155,297523,Reilly,O'Brien,Adelaide,senior,43,20/08/1995,202,103,VIC,Calder Cannons,17,"3"""
39613,270296,Andy,Otten,Adelaide,senior,22,15/05/1989,194,92,VIC,Oakleigh Chargers,106,"38"""
47052,1000908,Myles,Poholke,Adelaide,senior,10,10/07/1998,186,84,VIC,Dandenong Stingrays,11,"3"""
42142,294733,Paul,Seedsman,Adelaide,senior,11,22/01/1992,190,83,VIC,Eastern Ranges,98,"49"""
49069,1006136,Lachlan,Sholl,Adelaide,senior,38,7/03/2000,185,77,VIC,Calder Cannons,,""""
40065,270963,Rory,Sloane,Adelaide,senior,9,17/03/1990,183,83,VIC,Eastern Ranges,194,"121"""
42009,291748,Brodie,Smith,Adelaide,senior,33,14/01/1992,190,86,SA,Woodville West Torrens,162,"55"""
47069,997230,Tyson,Stengle,Adelaide,senior,17,19/10/1998,171,70,SA,Woodville-West Torrens,3,"5"""
49106,1008752,Kieran,Strachan,Adelaide,rookie,45,5/10/1995,202,95,VIC,Port Melbourne,,""""
41009,280934,Daniel,Talia,Adelaide,senior,12,2/10/1991,197,99,VIC,Calder Cannons,181,"6"""
39614,280506,Taylor,Walker,Adelaide,senior,13,25/04/1990,195,100,NSW,Broken Hill North,184,"412"""
43051,295964,Patrick,Wilson,Adelaide,rookie,31,11/12/1994,188,78,SA,Sturt,1,"0"""
46085,294168,Marcus,Adams,Brisbane Lions,senior,24,30/07/1997,192,96,WA,West Perth ,30,"4"""
47029,998268,Jacob,Allison,Brisbane Lions,rookie,19,16/04/1998,193,82,QLD,Brisbane Academy,10,"2"""
45041,996059,Harris,Andrews,Brisbane Lions,senior,31,12/11/1996,202,100,QLD,Aspley,91,"9"""
49086,1005053,Noah,Answerth,Brisbane Lions,senior,43,6/08/1999,184,80,VIC,Oakleigh Chargers,12,"1"""
48015,1002312,Zac,Bailey,Brisbane Lions,senior,33,23/09/1999,181,81,NT,Southern Districts,20,"9"""
48009,1002351,Connor,Ballenden,Brisbane Lions,senior,38,29/03/1999,198,96,QLD,Wests Juniors,0,"0"""
41028,280863,Ryan,Bastinac,Brisbane Lions,senior,4,22/06/1991,184,81,VIC,Dandenong Stingrays,164,"93"""
47021,998133,Jarrod,Berry,Brisbane Lions,senior,7,5/02/1998,192,84,VIC,North Ballarat Rebels,50,"25"""
49046,1006100,Tom,Berry,Brisbane Lions,senior,13,1/05/2000,185,76,VIC,GWV Rebels,,""""
44058,990609,Charlie,Cameron,Brisbane Lions,senior,23,5/07/1994,181,75,WA,Swan Districts,101,"139"""
41017,280918,Allen,Christensen,Brisbane Lions,senior,3,19/05/1991,176,73,VIC,Geelong Falcons,126,"106"""
47063,994047,Cedric,Cox,Brisbane Lions,senior,20,19/08/1997,181,79,VIC,North Ballarat Rebels,12,"3"""
44059,297406,Tom,Cutler,Brisbane Lions,senior,26,20/02/1995,191,95,VIC,Oakleigh Chargers,66,"32"""
47124,290326,Matt,Eagles,Brisbane Lions,rookie,41,9/02/1990,200,100,QLD,Yeronga South Brisbane,4,"1"""
49140,1013532,Tom,Fullarton,Brisbane Lions,rookie,47,23/02/1999,200,98,QLD,Brisbane Bullets,,""""
44015,296269,Darcy,Gardiner,Brisbane Lions,senior,27,22/09/1995,192,87,VIC,Geelong Falcons,99,"4"""
47109,1004863,Mitchell,Hinge,Brisbane Lions,senior,22,28/06/1998,187,80,SA,Glenelg,2,"1"""
46015,993953,Eric,Hipwood,Brisbane Lions,senior,30,13/09/1997,202,92,QLD,Aspley,68,"104"""
837,220047,Luke,Hodge,Brisbane Lions,senior,2,15/06/1984,185,88,VIC,Geelong Falcons,338,"194"""
49076,1006150,Tom,Joyce,Brisbane Lions,senior,32,7/03/2000,181,80,WA,East Fremantle,,""""
46014,993946,Ben,Keays,Brisbane Lions,senior,1,23/02/1997,186,84,QLD,Redlands,30,"11"""
42037,291548,Ryan,Lester,Brisbane Lions,senior,35,26/08/1992,191,85,VIC,Oakleigh Chargers,126,"45"""
47048,998105,Corey,Lyons,Brisbane Lions,senior,39,31/05/1998,181,80,VIC,Sandringham Dragons,0,"0"""
42132,293716,Jarryd,Lyons,Brisbane Lions,senior,17,22/07/1992,184,82,VIC,Sandringham Dragons,109,"59"""
49139,1013978,James,Madden,Brisbane Lions,rookie,42,15/11/1999,185,84,N/A,Dublin,,""""
39707,280763,Stefan,Martin,Brisbane Lions,senior,12,17/11/1986,199,102,VIC,Sandringham,175,"44"""
46013,993828,Rhys,Mathieson,Brisbane Lions,senior,36,10/01/1997,187,84,VIC,Geelong Falcons,46,"24"""
42327,293581,Lincoln,McCarthy,Brisbane Lions,senior,11,22/10/1993,178,82,SA,Glenelg,45,"44"""
47001,1000978,Hugh,McCluggage,Brisbane Lions,senior,6,3/03/1998,186,77,VIC,North Ballarat Rebels,56,"36"""
49044,1006085,Connor,McFadyen,Brisbane Lions,senior,45,4/12/2000,190,81,QLD,Brisbane Academy,,""""
47115,1005521,Oscar,McInerney,Brisbane Lions,senior,46,10/07/1994,204,103,VIC,Casey Scorpions,30,"21"""
44031,297504,Daniel,McStay,Brisbane Lions,senior,25,24/06/1995,195,94,VIC,Eastern Ranges,96,"70"""
42323,293535,Lachie,Neale,Brisbane Lions,senior,9,24/05/1993,177,80,SA,Glenelg,151,"73"""
48045,1002347,Jack,Payne,Brisbane Lions,senior,40,15/10/1999,197,96,QLD,Noosa,0,"0"""
48001,1002235,Cameron,Rayner,Brisbane Lions,senior,16,21/10/1999,187,87,VIC,Western Jets,39,"35"""
40003,271072,Daniel,Rich,Brisbane Lions,senior,10,7/06/1990,183,84,WA,Subiaco,200,"106"""
44053,297258,Nick,Robertson,Brisbane Lions,senior,18,3/06/1995,190,87,WA,West Perth ,72,"10"""
40018,290311,Mitch,Robinson,Brisbane Lions,senior,5,7/06/1989,183,87,TAS,Lauderdale,185,"104"""
46055,993836,Sam,Skinner,Brisbane Lions,senior,21,29/06/1997,197,94,VIC,Gippsland Power,1,"2"""
44136,992752,Archie,Smith,Brisbane Lions,senior,44,19/07/1995,201,99,QLD,Mt Gravatt,11,"4"""
49068,1006033,Ely,Smith,Brisbane Lions,senior,8,13/09/2000,188,86,VIC,Murray Bushrangers,,""""
48194,1002401,Brandon,Starcevich,Brisbane Lions,senior,37,24/07/1999,187,84,WA,East Perth,5,"1"""
44014,296211,Lewis,Taylor,Brisbane Lions,senior,28,17/02/1995,174,75,VIC,Geelong Falcons,112,"88"""
42162,291550,Josh,Walker,Brisbane Lions,senior,14,12/11/1992,196,101,VIC,Geelong Falcons,83,"69"""
47028,998128,Alex,Witherden,Brisbane Lions,senior,29,10/09/1998,186,80,VIC,Geelong Falcons,46,"5"""
48163,1002244,Toby,Wooller,Brisbane Lions,senior,34,16/03/1999,193,90,VIC,Oakleigh Chargers,0,"0"""
42302,261224,Dayne,Zorko,Brisbane Lions,senior,15,9/02/1989,175,74,QLD,Broadbeach,161,"176"""
41073,281124,Levi,Casboult,Carlton,senior,41,15/03/1990,201,103,VIC,Dandenong Stingrays,119,"128"""
49142,0,Matthew,Cottrell,Carlton,senior,49,29/02/2000,181,72,VIC,Dandenong Stingrays,,""""
44030,990704,Patrick,Cripps,Carlton,senior,9,18/03/1995,195,93,WA,East Fremantle,96,"45"""
46066,993795,David,Cuningham,Carlton,senior,28,30/03/1997,183,83,VIC,Oakleigh Chargers,24,"14"""
46016,996731,Charlie,Curnow,Carlton,senior,30,3/02/1997,194,91,VIC,Geelong Falcons,58,"77"""
39680,270146,Ed,Curnow,Carlton,senior,35,7/11/1989,181,86,VIC,Geelong Falcons,160,"35"""
48118,1004912,Tom,De Koning,Carlton,senior,12,16/07/1999,200,90,VIC,Dandenong Stingrays,2,"1"""
45139,298446,Josh,Deluca,Carlton,senior,47,11/05/1996,179,80,WA,Subiaco,5,"3"""
42248,295518,Sam,Docherty,Carlton,senior,15,17/10/1993,187,87,VIC,Gippsland Power,92,"14"""
48002,1002256,Paddy,Dow,Carlton,senior,2,16/10/1999,185,78,VIC,Bendigo Pioneers,36,"13"""
42034,290821,Alex,Fasolo,Carlton,senior,32,8/06/1992,181,84,WA,East Fremantle,104,"135"""
47022,999827,Zac,Fisher,Carlton,senior,25,15/06/1998,175,68,WA,Perth,51,"20"""
45021,990424,Jarrod,Garlett,Carlton,senior,21,18/08/1996,181,72,WA,South Fremantle,30,"15"""
49141,296200,Michael,Gibbons,Carlton,senior,40,8/01/1994,178,78,VIC,Williamstown,17,"11"""
45012,298316,Hugh,Goddard,Carlton,senior,45,24/08/1996,196,98,VIC,Geelong Falcons,11,"1"""
40111,281078,Liam,Jones,Carlton,senior,14,24/02/1991,198,98,VIC,Scotch College,123,"84"""
46009,1001398,Matthew,Kennedy,Carlton,senior,7,6/04/1997,188,89,NSW,Collingullie,37,"18"""
47044,998116,Patrick,Kerr,Carlton,senior,36,31/07/1998,194,93,VIC,Oakleigh Chargers,4,"2"""
39622,261299,Matthew,Kreuzer,Carlton,senior,8,13/05/1989,200,101,VIC,Northern Knights,185,"93"""
44052,296439,Darcy,Lang,Carlton,senior,16,21/11/1995,183,81,VIC,Geelong Falcons,59,"39"""
47045,992276,Kym,LeBois,Carlton,senior,42,22/05/1998,175,67,SA,North Adelaide,0,"0"""
39650,261230,Matthew,Lobbe,Carlton,senior,27,12/02/1989,200,96,VIC,Eastern Ranges,100,"22"""
47033,998226,Harrison,Macreadie,Carlton,senior,26,11/04/1998,196,89,NSW,Henty,9,"0"""
45009,298302,Caleb,Marchbank,Carlton,senior,22,12/07/1996,193,90,VIC,Murray Bushrangers,48,"0"""
45116,297255,Mitch,McGovern,Carlton,senior,11,11/10/1994,191,88,WA,Claremont,61,"84"""
46018,1000953,Harry,McKay,Carlton,senior,10,24/12/1997,200,95,VIC,Gippsland Power,30,"46"""
2020,250105,Marc,Murphy,Carlton,senior,3,19/07/1987,180,80,VIC,Oakleigh Chargers,263,"181"""
45172,297907,Nic,Newman,Carlton,senior,24,15/01/1993,187,82,VIC,Frankston,46,"10"""
48108,1002259,Lochie,O'Brien,Carlton,senior,4,18/09/1999,184,77,VIC,Bendigo Pioneers,30,"8"""
49094,1011924,Finbar,O'Dwyer,Carlton,senior,38,24/07/2000,190,74,VIC,Yarrawonga,,""""
49138,1013973,Matthew,Owies,Carlton,senior,44,19/03/1997,183,82,VIC,Seattle University,,""""
47004,994539,Sam,Petrevski-Seton,Carlton,senior,5,19/02/1998,180,74,WA,Claremont,59,"19"""
42168,294068,Andrew,Phillips,Carlton,senior,34,3/07/1991,203,99,TAS,Clarence,39,"14"""
45010,990423,Jarrod,Pickett,Carlton,senior,33,18/08/1996,178,77,WA,South Fremantle,17,"8"""
43008,294624,Lachlan,Plowman,Carlton,senior,20,11/09/1994,191,90,VIC,Calder Cannons,89,"1"""
47086,998100,Cameron,Polson,Carlton,senior,29,11/03/1998,177,76,VIC,Sandringham Dragons,16,"4"""
48124,1004767,Angus,Schumacher,Carlton,senior,19,16/03/1999,191,79,VIC,Bendigo Pioneers,0,"0"""
47008,998215,Will,Setterfield,Carlton,senior,43,5/02/1998,190,82,VIC,Sandringham Dragons,15,"5"""
49098,1011949,Ben,Silvagni,Carlton,senior,37,7/05/2000,196,86,VIC,Oakleigh Chargers,,""""
46054,1001028,Jack,Silvagni,Carlton,senior,1,17/12/1997,191,89,VIC,Oakleigh Chargers,55,"43"""
772,230202,Kade,Simpson,Carlton,senior,6,5/05/1984,181,76,VIC,Eastern Ranges,320,"137"""
49032,1008312,Liam,Stocker,Carlton,senior,13,23/01/2000,183,83,VIC,Sandringham Dragons,5,"0"""
2024,240359,Dale,Thomas,Carlton,senior,39,21/06/1987,185,84,VIC,Gippsland Power,253,"154"""
49003,1006094,Sam,Walsh,Carlton,senior,18,2/07/2000,183,74,VIC,Geelong Falcons,17,"4"""
46001,993832,Jacob,Weitering,Carlton,senior,23,23/11/1997,195,96,VIC,Dandenong Stingrays,72,"10"""
47088,998167,Tom,Williamson,Carlton,senior,31,12/12/1998,188,80,VIC,North Ballarat Rebels,17,"1"""
42249,291776,Taylor,Adams,Collingwood,senior,13,30/09/1993,181,83,VIC,Geelong Falcons,126,"46"""
44004,295067,James,Aish,Collingwood,senior,14,8/11/1995,183,78,SA,Norwood,81,"23"""
48229,1005013,Flynn,Appleby,Collingwood,senior,31,21/01/1999,187,80,VIC,GWV Rebels,10,"0"""
40073,271001,Dayne,Beams,Collingwood,senior,11,12/02/1990,186,86,QLD,Southport,176,"172"""
49102,1008288,Atu,Bosenvulagi,Collingwood,senior,40,17/09/2000,180,81,VIC,Oakleigh Chargers,,""""
43044,293035,Tim,Broomhead,Collingwood,rookie,29,22/03/1994,185,80,SA,Port Adelaide,36,"27"""
47038,1002770,Callum,Brown,Collingwood,senior,17,27/04/1998,178,73,VIC,Eastern Ranges,28,"12"""
48219,1008171,Tyler,Brown,Collingwood,senior,34,9/12/1999,187,71,VIC,Eastern Ranges,0,"0"""
45190,998647,Mason,Cox,Collingwood,senior,46,14/03/1991,211,108,N/A,Oklahoma State,56,"70"""
42350,293871,Jack,Crisp,Collingwood,senior,25,2/10/1993,190,91,VIC,Murray Bushrangers,127,"46"""
46036,993796,Ben,Crocker,Collingwood,senior,39,19/02/1997,188,82,VIC,Oakleigh Chargers,25,"20"""
47039,1005054,Josh,Daicos,Collingwood,senior,26,26/11/1998,178,72,VIC,Oakleigh Chargers,14,"7"""
45015,994185,Jordan,De Goey,Collingwood,senior,2,15/03/1996,191,91,VIC,Oakleigh Chargers,86,"117"""
1605,250548,Lynden,Dunn,Collingwood,senior,15,14/05/1987,192,102,VIC,Calder Cannons,196,"98"""
42303,293801,Jamie,Elliott,Collingwood,senior,5,21/08/1992,178,81,VIC,Murray Bushrangers,98,"150"""
39505,260246,Tyson,Goldsack,Collingwood,senior,6,22/05/1987,193,93,VIC,Gippsland,165,"50"""
39642,270861,Levi,Greenwood,Collingwood,senior,19,19/02/1989,181,91,SA,Port Adelaide Magpies,147,"56"""
43007,293957,Brodie,Grundy,Collingwood,senior,4,15/04/1994,203,102,SA,Sturt,125,"42"""
42240,291720,Will,Hoskin-Elliott,Collingwood,senior,32,2/09/1993,186,80,VIC,Western Jets,112,"114"""
42112,291313,Jeremy,Howe,Collingwood,senior,38,29/06/1990,190,88,TAS,Hobart,176,"88"""
49137,1013974,Mark,Keane,Collingwood,rookie,47,17/03/2000,194,96,N/A,County Cork,,""""
49037,1008285,Will,Kelly,Collingwood,senior,27,16/08/2000,193,83,VIC,Oakleigh Chargers,,""""
44073,295444,Tom,Langdon,Collingwood,senior,8,9/06/1994,190,86,VIC,Sandringham Dragons,89,"3"""
47047,1000960,Max,Lynch,Collingwood,senior,45,12/09/1998,200,97,VIC,Murray Bushrangers,0,"0"""
48237,1010841,Jack,Madgen,Collingwood,rookie,44,25/04/1993,192,93,SA,Barossa District,5,"0"""
45048,992010,Brayden,Maynard,Collingwood,senior,37,20/09/1996,189,90,VIC,Sandringham Dragons,90,"14"""
39633,280416,Chris,Mayne,Collingwood,senior,16,2/11/1988,188,84,WA,Perth,209,"205"""
42259,291849,Brody,Mihocek,Collingwood,senior,41,4/02/1993,192,97,TAS,Burnie,33,"53"""
45008,298288,Darcy,Moore,Collingwood,senior,30,25/01/1996,201,98,VIC,Oakleigh Chargers,68,"61"""
48217,1005107,Nathan,Murphy,Collingwood,senior,28,15/12/1999,188,80,VIC,Sandringham Dragons,2,"0"""
46124,1003620,Samuel,Murray,Collingwood,rookie,9,1/01/1997,187,88,VIC,Wodonga Raiders,13,"0"""
49145,1000072,John,Noble,Collingwood,senior,49,25/03/1997,180,72,,,1,"0"""
2032,260257,Scott,Pendlebury,Collingwood,senior,10,7/01/1988,191,91,VIC,Gippsland Power,293,"172"""
46060,996487,Tom,Phillips,Collingwood,senior,21,7/05/1997,187,79,VIC,Oakleigh Chargers,67,"37"""
49018,1008089,Isaac,Quaynor,Collingwood,senior,35,15/01/2000,179,82,VIC,Oakleigh Chargers,3,"0"""
39501,240232,Ben,Reid,Collingwood,senior,20,29/04/1989,196,98,VIC,Murray,148,"69"""
40032,280012,Jordan,Roughead,Collingwood,senior,23,3/11/1990,200,99,VIC,North Ballarat Rebels,154,"34"""
44011,295012,Matthew,Scharenberg,Collingwood,senior,12,18/09/1995,191,88,SA,Glenelg,33,"0"""
40008,280965,Steele,Sidebottom,Collingwood,senior,22,2/01/1991,184,86,VIC,Murray Bushrangers,227,"158"""
46083,1003029,Brayden,Sier,Collingwood,senior,36,12/12/1997,191,89,VIC,Northern Knights,18,"4"""
48159,1002240,Jaidyn,Stephenson,Collingwood,senior,1,15/01/1999,189,75,VIC,Eastern Ranges,38,"59"""
41062,290289,Josh,Thomas,Collingwood,senior,24,1/10/1991,178,77,QLD,Gold Coast,82,"75"""
49136,1013975,Anton,Tohill,Collingwood,rookie,43,14/12/1999,198,86,N/A,County Derry,,""""
42232,291790,Adam,Treloar,Collingwood,senior,7,9/03/1993,182,85,VIC,Noble Park,156,"94"""
2040,250290,Travis,Varcoe,Collingwood,senior,18,10/04/1988,180,83,SA,Central District,215,"164"""
410,230232,Daniel,Wells,Collingwood,senior,3,3/02/1985,181,85,WA,Peel Thunder,258,"171"""
46098,1001448,Rupert,Wills,Collingwood,senior,33,20/05/1993,192,87,VIC,Collingwood VFL,9,"1"""
44124,295599,Patrick,Ambrose,Essendon,senior,29,1/09/1991,193,92,VIC,Old Xaverians,81,"23"""
42359,294798,Mark,Baguley,Essendon,senior,12,21/05/1987,178,81,VIC,Frankston,133,"33"""
47066,1005721,Josh,Begley,Essendon,senior,16,3/07/1998,188,94,VIC,Eastern Ranges,14,"14"""
39690,261320,Tom,Bellchambers,Essendon,senior,2,9/07/1989,201,108,TAS,Tassie Mariners,127,"76"""
40048,290622,Mitch W.,Brown,Essendon,senior,28,28/08/1990,196,90,VIC,Sandringham Dragons,64,"62"""
47020,998109,Dylan,Clarke,Essendon,senior,37,6/09/1998,187,85,VIC,Eastern Ranges,8,"0"""
40087,290251,Zac,Clarke,Essendon,senior,20,28/09/1990,203,92,VIC,Oakleigh Chargers,103,"46"""
43009,294518,Joe,Daniher,Essendon,senior,6,4/03/1994,200,95,VIC,Calder Cannons,104,"188"""
41091,292025,Matt,Dea,Essendon,rookie,49,13/10/1991,186,85,VIC,North Ballarat,69,"2"""
47098,1005577,Sam,Draper,Essendon,senior,38,28/09/1998,203,105,SA,South Adelaide,0,"0"""
44065,296334,Orazio,Fantasia,Essendon,senior,13,14/09/1995,177,77,SA,Norwood,71,"106"""
46006,990816,Aaron,Francis,Essendon,senior,10,10/08/1997,193,92,SA,West Adelaide,22,"5"""
43109,297438,Martin,Gleeson,Essendon,senior,8,25/08/1994,191,84,VIC,North Ballarat Rebels,73,"5"""
49052,1011864,Noah,Gown,Essendon,senior,32,1/02/2000,193,91,VIC,Gippsland Power,,""""
47041,996232,Matt,Guelfi,Essendon,senior,35,14/08/1997,184,79,WA,Claremont,30,"8"""
49099,1008190,Brayden,Ham,Essendon,senior,33,25/04/1999,180,65,VIC,Geelong Falcons,2,"1"""
42307,294077,Michael,Hartley,Essendon,senior,36,7/06/1993,198,102,NSW,Penrith,42,"1"""
42022,290629,Dyson,Heppell,Essendon,senior,21,14/05/1992,189,82,VIC,Gippsland Power,166,"59"""
39630,270588,Cale,Hooker,Essendon,senior,26,13/10/1988,197,101,WA,East Fremantle,189,"85"""
48067,1000057,Jordan,Houlahan,Essendon,senior,24,19/02/1999,186,76,SA,Sturt,0,"0"""
40005,270935,Michael,Hurley,Essendon,senior,18,1/06/1990,193,92,VIC,Northern Knights,176,"108"""
49107,994073,Tom,Jok,Essendon,rookie,46,1/01/1997,193,80,VIC,Collingwood VFL,,""""
45014,298630,Kyle,Langford,Essendon,senior,4,1/12/1996,191,90,VIC,Northern Knights,59,"39"""
45011,298280,Jayden,Laverde,Essendon,senior,15,12/04/1996,191,88,VIC,Western Jets,37,"27"""
45181,298347,Jake,Long,Essendon,senior,34,3/02/1996,185,75,NT,St Marys,5,"1"""
43083,294092,Anthony,McDonald-Tipungwuti,Essendon,senior,43,22/04/1993,171,76,NT,Gippsland Power,83,"94"""
47003,998102,Andrew,McGrath,Essendon,senior,1,2/06/1998,178,78,VIC,Sandringham Dragons,58,"13"""
45191,997846,Conor,McKenna,Essendon,senior,45,28/03/1996,184,84,N/A,County Tyrone,68,"19"""
40016,280038,Shaun,McKernan,Essendon,senior,44,1/09/1990,196,100,VIC,Calder Cannons,73,"60"""
47126,294339,Ben,McNiece,Essendon,senior,41,22/03/1992,178,76,VIC,Essendon VFL,13,"0"""
44027,992016,Zach,Merrett,Essendon,senior,7,3/10/1995,180,80,VIC,Sandringham Dragons,120,"41"""
49075,1006097,Irving,Mosquito,Essendon,senior,22,24/08/2000,176,72,WA,Gippsland Power,,""""
47012,998212,Kobe,Mutch,Essendon,senior,19,18/03/1998,187,83,VIC,Bendigo Pioneers,4,"1"""
39627,261314,David,Myers,Essendon,senior,23,30/06/1989,191,88,WA,Perth,122,"40"""
48151,1004917,Trent,Mynott,Essendon,rookie,39,4/10/1999,185,73,VIC,Eastern Ranges,0,"0"""
46004,993817,Darcy,Parish,Essendon,senior,3,25/07/1997,180,78,VIC,Geelong Falcons,71,"28"""
46077,997078,Mason,Redman,Essendon,senior,27,26/08/1997,187,85,SA,Glenelg,19,"1"""
47064,1001026,Jordan,Ridley,Essendon,senior,14,20/10/1998,192,79,VIC,Oakleigh Chargers,9,"0"""
45166,295461,Adam,Saad,Essendon,senior,42,23/07/1994,178,74,VIC,Coburg,87,"4"""
42209,291783,Dylan,Shiel,Essendon,senior,9,9/03/1993,182,82,NSW,Edithvale-Aspinvale,150,"69"""
42246,291771,Devon,Smith,Essendon,senior,5,20/05/1993,176,77,VIC,Geelong Falcons,137,"119"""
46037,990606,Will,Snelling,Essendon,senior,40,6/08/1997,174,89,SA,West Adelaide,2,"2"""
43058,294654,James,Stewart,Essendon,senior,17,4/03/1994,198,94,VIC,Sandringham Dragons,45,"55"""
43012,293884,Jake,Stringer,Essendon,senior,25,25/04/1994,192,92,VIC,Bendigo Pioneers,122,"215"""
40031,270951,David,Zaharakis,Essendon,senior,11,21/02/1990,180,75,VIC,Northern Knights,203,"125"""
48076,1004034,Brandon,Zerk-Thatcher,Essendon,senior,30,25/08/1998,195,77,SA,Sturt,0,"0"""
40068,260069,Hayden,Ballantyne,Fremantle,senior,1,16/07/1987,173,79,WA,Peel Thunder,168,"253"""
48228,998180,Bailey,Banfield,Fremantle,senior,41,26/02/1998,188,87,WA,Claremont,24,"5"""
42002,291594,Harley,Bennell,Fremantle,senior,13,2/10/1992,185,85,WA,Peel Thunder,83,"95"""
49089,296371,Brett,Bewley,Fremantle,senior,34,14/04/1995,186,85,VIC,Williamstown,6,"1"""
45030,298450,Connor,Blakely,Fremantle,senior,19,3/02/1996,188,90,WA,Swan Districts,55,"2"""
48008,1002232,Andrew,Brayshaw,Fremantle,senior,8,8/11/1999,184,82,VIC,Sandringham Dragons,34,"8"""
49135,1006151,Jason,Carter,Fremantle,rookie,35,11/01/2000,182,75,WA,Dockers Academy,,""""
48003,1002239,Adam,Cerra,Fremantle,senior,5,7/10/1999,186,80,VIC,Eastern Ranges,36,"9"""
41036,280988,Travis,Colyer,Fremantle,senior,33,24/08/1991,175,75,WA,Claremont,97,"59"""
42035,290823,Reece,Conca,Fremantle,senior,6,12/08/1992,181,83,WA,Perth,121,"24"""
47065,997033,Brennan,Cox,Fremantle,senior,36,13/08/1998,193,93,SA,Woodville-West Torrens,34,"27"""
48068,1002353,Mitch,Crowden,Fremantle,senior,12,28/04/1999,175,88,SA,Sturt,10,"1"""
47075,998145,Sean,Darcy,Fremantle,senior,4,12/06/1998,201,111,VIC,Geelong Falcons,22,"4"""
